Car_id,Date,Customer Name,Gender,Annual Income,Company,Color,Price ($),Body Style
C_CND_000072,1/5/2022,Helen,Female,1000000,Jaguar,Pale White,45000,Passenger
C_CND_000073,1/5/2022,Imani,Female,745000,Mitsubishi,Black,25000,SUV
C_CND_000074,1/5/2022,Ingrid,Male,300000,Ford,Pale White,62000,Sedan
C_CND_000075,1/5/2022,Irene,Male,1097000,Volkswagen,Black,22700,Passenger
C_CND_000076,1/5/2022,Iris,Female,542000,Mitsubishi,Black,45000,SUV
C_CND_000077,1/5/2022,Hunter,Male,1200000,Lincoln,Black,17000,Hatchback
C_CND_000078,1/5/2022,James,Male,490000,Ford,Black,49000,Hardtop
C_CND_000079,1/5/2022,Ilan,Male,410000,Audi,Black,15000,SUV
C_CND_000080,1/5/2022,Isaac,Male,930000,Acura,Black,28000,Hatchback
C_CND_000081,1/5/2022,Aaron,Male,480000,Nissan,Pale White,46000,Hardtop
C_CND_000082,1/5/2022,Israel,Female,1360000,Ford,Pale White,43000,Hatchback
C_CND_000083,1/5/2022,Amara,Male,2200000,Oldsmobile,Pale White,41000,Sedan
C_CND_000084,1/5/2022,Amaya,Female,1100000,Chevrolet,Pale White,45000,SUV
C_CND_000085,1/5/2022,Amelia,Male,13500,Chevrolet,Pale White,22001,Hatchback
C_CND_000086,1/5/2022,Amia,Male,1700000,Volkswagen,Pale White,25001,Sedan
C_CND_000087,1/5/2022,Amina,Male,1908000,Dodge,Pale White,12800,Sedan
C_CND_000088,1/5/2022,Aminata,Male,13500,Chrysler,Black,26000,SUV
C_CND_000089,1/5/2022,Alizee,Male,13500,BMW,Black,18000,Sedan
C_CND_000090,1/5/2022,Caroline,Male,2550000,Oldsmobile,Pale White,19000,Hatchback
C_CND_000091,1/5/2022,Wadia,Male,1245000,Nissan,Pale White,22500,Sedan
C_CND_000092,1/5/2022,Mauricio,Male,13500,Dodge,Pale White,21001,Hardtop
C_CND_000093,1/5/2022,Maximilian,Male,1115000,Chrysler,Pale White,46500,Hardtop
C_CND_000094,1/5/2022,Elisa,Male,13500,Chrysler,Pale White,16000,SUV
C_CND_000095,1/5/2022,Tzipora,Male,2110000,Volvo,Black,39000,Passenger
C_CND_000096,1/5/2022,Tziporah,Female,13500,Nissan,Black,19000,SUV
C_CND_000097,1/5/2022,Tzippy,Male,1050000,Chrysler,Black,26000,Hatchback
C_CND_000098,1/5/2022,Tzivia,Male,13500,Honda,Black,43000,Sedan
C_CND_000099,1/5/2022,Valentina,Female,13500,Nissan,Pale White,54000,Sedan
C_CND_000100,1/5/2022,Valerie,Male,320000,Dodge,Pale White,22000,SUV
C_CND_000101,1/6/2022,Isabel,Male,13500,Lexus,Black,16001,SUV
C_CND_000102,1/6/2022,Isabela,Female,760000,BMW,Black,16001,Sedan
C_CND_000103,1/6/2022,Ivan,Male,1390000,Toyota,Pale White,12000,SUV
C_CND_000104,1/6/2022,Abel,Male,659000,Mercedes-B,Black,38000,Hardtop
C_CND_000105,1/6/2022,Amira,Male,1330000,Ford,Pale White,42000,Hatchback
C_CND_000106,1/6/2022,Amirah,Male,13500,Nissan,Pale White,21000,Hatchback
C_CND_000107,1/6/2022,Mathias,Female,13500,Volvo,Black,49000,Hatchback
C_CND_000108,1/6/2022,Noel,Male,1362000,Chevrolet,Pale White,21200,Hardtop
C_CND_000109,1/6/2022,Vanessa,Male,480000,Mercury,Pale White,71000,SUV
C_CND_000110,1/6/2022,Vera,Female,365000,Chevrolet,Pale White,17000,Sedan
C_CND_000111,1/9/2022,Isabella,Female,481000,Subaru,Pale White,57001,SUV
C_CND_000112,1/9/2022,Isabelle,Male,700000,Buick,Pale White,62001,Hatchback
C_CND_000113,1/9/2022,Isis,Male,1350000,Ford,Black,69001,SUV
C_CND_000114,1/9/2022,Itzel,Male,750000,Chevrolet,Pale White,20001,SUV
C_CND_000115,1/9/2022,Yadiel,Male,451000,Audi,Black,27000,Hardtop
C_CND_000116,1/9/2022,Joseph,Female,650000,Ford,Black,49000,Hardtop
C_CND_000117,1/9/2022,Jake,Male,700000,Mitsubishi,Black,49000,Hatchback
C_CND_000118,1/9/2022,James,Female,13500,Lexus,Black,12000,Hatchback
C_CND_000119,1/9/2022,Amiya,Female,1220000,Mercedes-B,Pale White,25000,Hatchback
C_CND_000120,1/9/2022,Amiyah,Male,1300000,Chrysler,Pale White,42000,Hatchback
C_CND_000121,1/9/2022,Angelina,Male,470000,Chrysler,Pale White,19000,Sedan
C_CND_000122,1/9/2022,Aniya,Female,1167500,Chevrolet,Pale White,26750,Hatchback
C_CND_000123,1/9/2022,Benott,Male,3000000,Cadillac,Pale White,31000,Passenger
C_CND_000124,1/9/2022,Lucas,Male,1900000,Saturn,Pale White,49000,Hatchback
C_CND_000125,1/9/2022,Clara,Female,1690000,Hyundai,Black,15000,SUV
C_CND_000126,1/9/2022,Clara,Male,2800000,Mercury,Pale White,26000,Sedan
C_CND_000127,1/9/2022,Alexis,Male,642000,Mercedes-B,Pale White,17000,Hardtop
C_CND_000128,1/9/2022,Veronika,Female,705000,Volvo,Pale White,24000,Hatchback
C_CND_000129,1/9/2022,Victoria,Male,670000,Chevrolet,Pale White,19000,Passenger
C_CND_000130,1/9/2022,Violet,Male,13500,Jaguar,Pale White,20000,Passenger
C_CND_000131,1/10/2022,Izabella,Female,1985000,Acura,Black,28501,Hatchback
C_CND_000132,1/10/2022,Jason,Male,1275000,BMW,Pale White,15500,Hatchback
C_CND_000133,1/10/2022,Aniyah,Male,13500,Plymouth,Pale White,20000,Passenger
C_CND_000134,1/10/2022,Elise,Male,1650000,Nissan,Pale White,29000,Sedan
C_CND_000135,1/10/2022,Vivian,Male,520500,Chrysler,Pale White,12500,Passenger
C_CND_000136,1/12/2022,Jacqueline,Female,500000,Mercury,Pale White,16001,SUV
C_CND_000137,1/12/2022,Jada,Male,1172500,Lexus,Pale White,27250,SUV
C_CND_000138,1/12/2022,Jade,Male,441000,Dodge,Black,11000,Sedan
C_CND_000139,1/12/2022,Jaelynn,Male,1310000,Nissan,Pale White,22001,Sedan
C_CND_000140,1/12/2022,Jamie,Male,13500,Dodge,Pale White,22000,Passenger
C_CND_000141,1/12/2022,Janelle,Male,1200000,Chevrolet,Pale White,22000,SUV
C_CND_000142,1/12/2022,Jasper,Male,1680000,Acura,Black,18000,SUV
C_CND_000143,1/12/2022,Jayden,Male,1340000,Honda,Pale White,27000,Passenger
C_CND_000144,1/12/2022,Jesse,Female,901000,Oldsmobile,Pale White,25000,SUV
C_CND_000145,1/12/2022,Joel,Female,849500,Acura,Pale White,26500,SUV
C_CND_000146,1/12/2022,John,Male,13500,Ford,Black,69000,SUV
C_CND_000147,1/12/2022,Jonah,Female,1071500,Oldsmobile,Pale White,14150,Sedan
C_CND_000149,1/12/2022,Aria,Male,13500,Honda,Black,43000,Hatchback
C_CND_000150,1/12/2022,Ariana,Male,1700000,BMW,Pale White,25000,SUV
C_CND_000151,1/12/2022,Arianna,Male,1100000,Oldsmobile,Pale White,12000,Sedan
C_CND_000152,1/12/2022,Ariel,Male,13500,Lexus,Black,39000,Sedan
C_CND_000153,1/12/2022,Arielle,Male,2155000,Cadillac,Black,60500,Passenger
C_CND_000154,1/12/2022,Louane,Male,13500,Volkswagen,Pale White,16000,Passenger
C_CND_000155,1/12/2022,Nina,Male,13500,Pontiac,Pale White,19000,Hatchback
C_CND_000156,1/12/2022,Laurine,Male,661000,Chevrolet,Black,44000,Hatchback
C_CND_000157,1/12/2022,Noah,Female,13500,Oldsmobile,Pale White,71000,Passenger
C_CND_000158,1/12/2022,Arthur,Male,13500,Ford,Pale White,25000,Hatchback
C_CND_000159,1/12/2022,Romain,Male,2750000,Mitsubishi,Black,18000,Hatchback
C_CND_000160,1/12/2022,Vivienne,Male,13500,Ford,Pale White,22000,SUV
C_CND_000161,1/12/2022,Gurdeniz,Male,13500,Mercedes-B,Pale White,41000,Hardtop
C_CND_000162,1/12/2022,Anais,Female,13500,Ford,Black,49000,Hardtop
C_CND_000163,1/12/2022,Yael,Male,950000,Volkswagen,Pale White,19000,Passenger
C_CND_000164,1/12/2022,Yasmine,Female,715000,BMW,Black,21000,SUV
C_CND_000165,1/12/2022,Matheo,Female,13500,Subaru,Black,22000,Hardtop
C_CND_000166,1/13/2022,Jaslene,Female,847000,Plymouth,Pale White,16000,SUV
C_CND_000167,1/13/2022,Jasmin,Female,13500,Volkswagen,Pale White,45000,SUV
C_CND_000168,1/13/2022,Jasmine,Male,1176500,Dodge,Black,11650,Sedan
C_CND_000169,1/13/2022,Jayda,Male,955000,Hyundai,Pale White,26000,Sedan
C_CND_000170,1/13/2022,Jonathan,Male,800000,Saturn,Black,36000,Passenger
C_CND_000171,1/13/2022,Jordan,Male,13500,Lincoln,Pale White,82000,Passenger
C_CND_000172,1/13/2022,Joseph,Female,13500,Chevrolet,Pale White,24000,Sedan
C_CND_000173,1/13/2022,Allison,Male,626800,Nissan,Pale White,11800,Hardtop
C_CND_000174,1/13/2022,Ashley,Male,2115000,Toyota,Pale White,27500,Hatchback
C_CND_000175,1/13/2022,Aubree,Male,2810000,Mercury,Pale White,36000,Passenger
C_CND_000176,1/13/2022,Aubrey,Male,13500,Jaguar,Pale White,20000,Passenger
C_CND_000177,1/13/2022,Autumn,Male,13500,Mercedes-B,Pale White,17000,Passenger
C_CND_000178,1/13/2022,Victor,Male,1589000,Volkswagen,Pale White,16900,Passenger
C_CND_000179,1/13/2022,Ludivine,Male,1385000,Buick,Pale White,46500,Passenger
C_CND_000180,1/13/2022,Anais,Male,2000000,Mercedes-B,Black,14000,Hatchback
C_CND_000181,1/13/2022,Luckas,Male,951000,Toyota,Black,16000,Passenger
C_CND_000182,1/13/2022,Victor,Male,1390000,Volvo,Black,22000,Hardtop
C_CND_000183,1/13/2022,Yitty,Male,2320000,Nissan,Pale White,20000,Hatchback
C_CND_000184,1/13/2022,Yocheved,Female,2752000,Toyota,Pale White,14200,SUV
C_CND_000185,1/13/2022,Zissy,Male,655000,Saturn,Pale White,51000,Sedan
C_CND_000186,1/17/2022,Jayla,Male,890000,Mitsubishi,Pale White,19000,Hatchback
C_CND_000187,1/17/2022,Jaylah,Male,1330000,Lexus,Pale White,31000,Hatchback
C_CND_000188,1/17/2022,Jayleen,Male,13500,Porsche,Pale White,32000,Passenger
C_CND_000189,1/17/2022,Jaylene,Male,900000,Dodge,Pale White,31000,Hatchback
C_CND_000190,1/17/2022,Judah,Male,570000,Oldsmobile,Pale White,14000,Sedan
C_CND_000191,1/17/2022,Jude,Male,715000,Audi,Black,25000,SUV
C_CND_000192,1/17/2022,Julian,Female,630000,Oldsmobile,Pale White,46000,Sedan
C_CND_000193,1/17/2022,Justin,Female,700500,Mercedes-B,Black,39500,SUV
C_CND_000194,1/17/2022,Ava,Male,2130000,Mitsubishi,Black,39000,Sedan
C_CND_000195,1/17/2022,Avery,Male,13500,BMW,Black,31000,SUV
C_CND_000196,1/17/2022,Bella,Male,2950000,Chevrolet,Pale White,41000,Hatchback
C_CND_000197,1/17/2022,Blessing,Male,2150000,Chrysler,Pale White,22000,SUV
C_CND_000198,1/17/2022,Angele,Female,1700000,Ford,Black,22000,Hatchback
C_CND_000199,1/17/2022,Mathis,Male,13500,Dodge,Pale White,41000,SUV
C_CND_000200,1/17/2022,Evann,Male,1540000,Jaguar,Pale White,21000,Passenger
C_CND_000201,1/17/2022,Gael,Male,1300000,Mercedes-B,Black,26000,Passenger
C_CND_000202,1/17/2022,Zoe,Male,960000,Mercedes-B,Pale White,31000,Sedan
C_CND_000203,1/17/2022,Zoey,Male,13500,Pontiac,Pale White,19000,SUV
C_CND_000204,1/17/2022,Aarav,Male,1810000,Saturn,Pale White,13000,Hatchback
C_CND_000205,1/17/2022,Mathis,Male,1130000,Saturn,Black,33000,Hardtop
C_CND_000206,1/19/2022,Jaylin,Male,1090000,Mercury,Pale White,61000,Sedan
C_CND_000207,1/19/2022,Jaylyn,Male,500000,Toyota,Black,21000,SUV
C_CND_000208,1/19/2022,Kacper,Female,1700000,Nissan,Pale White,16000,Sedan
C_CND_000209,1/19/2022,Kai,Male,860000,Oldsmobile,Pale White,15000,Hatchback
C_CND_000210,1/19/2022,Brianna,Male,13500,Volkswagen,Pale White,27000,Hatchback
C_CND_000211,1/19/2022,Brielle,Male,2035000,Volkswagen,Pale White,13500,Hatchback
C_CND_000212,1/19/2022,Hugo,Male,1372500,Nissan,Black,9250,Passenger
C_CND_000213,1/19/2022,Kassandra,Male,1800000,Ford,Pale White,31000,Hatchback
C_CND_000214,1/19/2022,Abdul,Male,1250000,Volkswagen,Pale White,32000,Hatchback
C_CND_000215,1/19/2022,Abdullah,Male,1175000,Volvo,Pale White,29500,Sedan
C_CND_000216,1/21/2022,Jazlyn,Male,1100000,Mercury,Pale White,14000,Passenger
C_CND_000217,1/21/2022,Jazmin,Male,1315000,Nissan,Pale White,18501,Hatchback
C_CND_000218,1/21/2022,Jazmine,Female,480000,Acura,Pale White,17001,SUV
C_CND_000219,1/21/2022,Jennifer,Female,423500,Mitsubishi,Pale White,12500,SUV
C_CND_000220,1/21/2022,Jessica,Female,13500,BMW,Black,21000,SUV
C_CND_000221,1/21/2022,Kenneth,Male,13500,BMW,Pale White,62000,SUV
C_CND_000222,1/21/2022,Kevin,Male,653000,Ford,Black,11000,Passenger
C_CND_000223,1/21/2022,Kieran,Male,13500,Nissan,Pale White,20000,Hatchback
C_CND_000224,1/21/2022,Kyle,Male,2862000,Honda,Pale White,21200,Sedan
C_CND_000225,1/21/2022,Landon,Male,2180000,Toyota,Black,29000,Hatchback
C_CND_000226,1/21/2022,Brooke,Male,13500,Cadillac,Pale White,17000,Passenger
C_CND_000227,1/21/2022,Brooklyn,Male,1500000,Lexus,Pale White,27000,Hatchback
C_CND_000228,1/21/2022,Cali,Male,1190000,Volvo,Black,36000,Sedan
C_CND_000229,1/21/2022,Chanel,Female,920000,Lincoln,Black,19000,Sedan
C_CND_000230,1/21/2022,Charlotte,Male,320000,Nissan,Pale White,18000,Hatchback
C_CND_000231,1/21/2022,Oliver,Male,690000,Chevrolet,Pale White,15000,Hardtop
C_CND_000232,1/21/2022,Owen,Male,13500,Toyota,Pale White,24000,Hardtop
C_CND_000233,1/21/2022,Tomy,Male,905000,Nissan,Black,16000,Passenger
C_CND_000234,1/21/2022,Timothe,Male,13500,Ford,Pale White,29000,Passenger
C_CND_000235,1/21/2022,Leo,Female,1180000,Pontiac,Pale White,19000,Hatchback
C_CND_000236,1/21/2022,Adam,Male,800000,Mercedes-B,Black,22000,SUV
C_CND_000237,1/21/2022,Aditya,Male,1225000,Dodge,Pale White,23500,SUV
C_CND_000238,1/21/2022,Adrian,Female,1200000,Mitsubishi,Pale White,36000,Passenger
C_CND_000239,1/21/2022,Ahmed,Male,13500,Pontiac,Pale White,19000,Hatchback
C_CND_000240,1/21/2022,Mathis,Male,1350000,Toyota,Pale White,53000,Hardtop
C_CND_000241,1/23/2022,Jimena,Male,426000,Cadillac,Black,28000,Sedan
C_CND_000242,1/23/2022,Jocelyn,Male,1447500,Oldsmobile,Black,60750,Sedan
C_CND_000243,1/23/2022,Alana,Male,770000,Chevrolet,Pale White,42000,Hardtop
C_CND_000244,1/23/2022,Leo,Male,1610000,Cadillac,Pale White,31000,Passenger
C_CND_000245,1/23/2022,Chelsea,Female,1540000,Ford,Pale White,62000,Sedan
C_CND_000246,1/23/2022,Chloe,Male,1285000,Mercedes-B,Black,39500,SUV
C_CND_000247,1/23/2022,Pablo,Male,1400000,Toyota,Pale White,24001,Hardtop
C_CND_000248,1/23/2022,Matthieu,Male,1200000,Mercedes-B,Pale White,15000,Hatchback
C_CND_000249,1/23/2022,Aiden,Male,1720000,Nissan,Black,19000,SUV
C_CND_000250,1/23/2022,Mary,Female,600000,Volkswagen,Pale White,35000,Hardtop
C_CND_000251,1/24/2022,Johanna,Male,457000,Hyundai,Pale White,21000,SUV
C_CND_000252,1/24/2022,Leon,Male,2450000,Nissan,Pale White,20000,Hatchback
C_CND_000253,1/24/2022,Christina,Male,1975000,Ford,Black,18500,Hatchback
C_CND_000254,1/24/2022,Gwendoline,Female,860000,Chevrolet,Pale White,45000,SUV
C_CND_000255,1/24/2022,Alex,Male,944000,Oldsmobile,Pale White,12000,Sedan
C_CND_000256,1/26/2022,Joselyn,Male,1135000,Chevrolet,Pale White,21500,SUV
C_CND_000257,1/26/2022,Leonardo,Female,2210000,Volvo,Pale White,17000,Sedan
C_CND_000258,1/26/2022,Dakota,Male,316000,Chevrolet,Pale White,46000,SUV
C_CND_000259,1/26/2022,Malik,Male,1151000,Toyota,Pale White,41100,Passenger
C_CND_000260,1/26/2022,Alexander,Male,1385000,Toyota,Pale White,22500,Hatchback
C_CND_000261,1/27/2022,Julia,Female,700000,Mercury,Black,9000,SUV
C_CND_000262,1/27/2022,Juliana,Male,1542000,Chevrolet,Pale White,20200,SUV
C_CND_000263,1/27/2022,Julianna,Female,962000,Nissan,Pale White,59000,Sedan
C_CND_000264,1/27/2022,Juliet,Male,1290000,Volvo,Black,22000,SUV
C_CND_000265,1/27/2022,Lev,Male,2250000,Subaru,Pale White,57000,SUV
C_CND_000266,1/27/2022,Levi,Female,2155000,Chevrolet,Pale White,25500,SUV
C_CND_000267,1/27/2022,Liam,Male,13500,Acura,Black,18000,SUV
C_CND_000268,1/27/2022,Lipa,Female,13500,Honda,Pale White,27000,Passenger
C_CND_000269,1/27/2022,Danielle,Female,807000,Toyota,Pale White,22000,Hatchback
C_CND_000270,1/27/2022,Destiny,Female,825000,Toyota,Pale White,82000,Hatchback
C_CND_000271,1/27/2022,Egypt,Female,720000,Plymouth,Pale White,15000,Hatchback
C_CND_000272,1/27/2022,Eliana,Female,850000,Toyota,Pale White,31000,Hatchback
C_CND_000273,1/27/2022,Felix,Male,1130000,Volkswagen,Pale White,13000,Hatchback
C_CND_000274,1/27/2022,Julien,Male,13500,Volkswagen,Pale White,17000,Sedan
C_CND_000275,1/27/2022,Gabrielle,Male,1370000,Chrysler,Pale White,46000,Sedan
C_CND_000276,1/27/2022,Emeline,Male,1311000,Ford,Pale White,19100,Sedan
C_CND_000277,1/27/2022,Ali,Female,1280000,Dodge,Pale White,10000,SUV
C_CND_000278,1/27/2022,Allen,Male,2000000,Lincoln,Black,42000,Passenger
C_CND_000279,1/27/2022,Alvin,Female,13500,Mitsubishi,Black,18000,Hatchback
C_CND_000280,1/27/2022,Andrew,Male,650000,Toyota,Pale White,25000,SUV
C_CND_000281,1/28/2022,Juliette,Male,1290000,Volkswagen,Black,22000,Passenger
C_CND_000282,1/28/2022,Logan,Male,13500,Volkswagen,Black,25000,SUV
C_CND_000283,1/28/2022,Elizabeth,Female,911000,Buick,Pale White,23000,Hatchback
C_CND_000284,1/28/2022,Theo,Male,1150000,Volkswagen,Pale White,33000,Passenger
C_CND_000285,1/28/2022,Andy,Male,655000,Oldsmobile,Pale White,25000,Sedan
C_CND_000286,1/30/2022,Julissa,Male,470000,Honda,Black,43000,Sedan
C_CND_000287,1/30/2022,Kaelyn,Male,1180000,BMW,Pale White,21001,Sedan
C_CND_000288,1/30/2022,Kailey,Male,1195000,Pontiac,Pale White,11501,Hatchback
C_CND_000289,1/30/2022,Lorenzo,Female,1420000,Volkswagen,Pale White,32000,Hatchback
C_CND_000290,1/30/2022,Louis,Male,13500,Hyundai,Black,20000,SUV
C_CND_000291,1/30/2022,Luca,Male,13500,Volkswagen,Black,9000,Hatchback
C_CND_000292,1/30/2022,Ella,Male,916000,Ford,Pale White,29000,Passenger
C_CND_000293,1/30/2022,Emily,Female,592000,Mercedes-B,Pale White,17000,Hatchback
C_CND_000294,1/30/2022,Emma,Male,750000,Honda,Pale White,27000,Hatchback
C_CND_000295,1/30/2022,Cedric,Male,1900000,Honda,Pale White,54000,Passenger
C_CND_000296,1/30/2022,Hugo,Female,1410000,Mercury,Black,33000,Hatchback
C_CND_000297,1/30/2022,Rafael,Male,1125000,Honda,Pale White,27500,Hardtop
C_CND_000298,1/30/2022,Anson,Female,580000,Toyota,Pale White,14000,SUV
C_CND_000299,1/30/2022,Anthony,Male,710000,Chevrolet,Black,41000,Sedan
C_CND_000300,1/30/2022,Arjun,Female,335000,Ford,Pale White,22000,SUV
C_CND_000301,1/31/2022,Kailyn,Female,13500,Ford,Pale White,24000,SUV
C_CND_000302,1/31/2022,Kaitlyn,Male,1012500,Porsche,Pale White,24250,SUV
C_CND_000303,1/31/2022,Kamila,Female,970000,Oldsmobile,Pale White,37000,SUV
C_CND_000304,1/31/2022,Lucas,Female,1495000,Lexus,Pale White,54500,SUV
C_CND_000305,1/31/2022,Luka,Male,13500,Chrysler,Pale White,46000,Sedan
C_CND_000306,1/31/2022,Lukas,Male,13500,Dodge,Pale White,37000,Hatchback
C_CND_000307,1/31/2022,Eva,Female,922000,Dodge,Black,26000,SUV
C_CND_000308,1/31/2022,Faith,Female,1130000,Nissan,Pale White,21000,Hatchback
C_CND_000309,1/31/2022,Fanta,Female,13500,Toyota,Pale White,41000,Passenger
C_CND_000310,1/31/2022,Matheo,Male,1090000,Nissan,Black,12000,SUV
C_CND_000311,1/31/2022,Clemence,Male,630100,Dodge,Pale White,25100,Hatchback
C_CND_000312,1/31/2022,Calista,Male,1350000,Toyota,Black,34000,Hatchback
C_CND_000313,1/31/2022,Armaan,Male,1330000,Oldsmobile,Pale White,34000,Passenger
C_CND_000314,1/31/2022,Noa,Female,591000,Mitsubishi,Pale White,39000,Hardtop
